State,Beer (Per capita consumption),Wine (Per capita consumption),Spirits (Per capita consumption),All beverages (Per capita consumption)
Alabama,1.16,1.16,0.6,2.0
Alaska,1.17,1.17,1.13,2.83
Arizona,1.14,1.14,0.84,2.43
Arkansas,1.0,1.0,0.6,1.81
California,0.98,0.98,0.74,2.35
Colorado,1.15,1.15,1.08,2.76
Connecticut,0.86,0.86,0.91,2.39
Delaware,1.32,1.32,1.58,3.59
District of Columbia,1.18,1.18,1.65,3.85
Florida,1.26,1.26,0.95,2.72
Georgia,1.05,1.05,0.68,1.98
Hawaii,1.26,1.26,0.75,2.54
Idaho,0.98,0.98,0.77,2.77
Illinois,1.15,1.15,0.77,2.36
Indiana,1.02,1.02,0.79,2.08
Iowa,1.36,1.36,0.81,2.4
Kansas,1.09,1.09,0.72,1.95
Kentucky,0.97,0.97,0.7,1.87
Louisiana,1.38,1.38,0.9,2.59
Maine,1.34,1.34,0.89,2.65
Maryland,0.91,0.91,0.9,2.2
Massachusetts,1.03,1.03,0.88,2.57
Michigan,1.08,1.08,0.84,2.27
Minnesota,1.18,1.18,1.11,2.71
Mississippi,1.37,1.37,0.71,2.24
Missouri,1.22,1.22,0.86,2.42
Montana,1.65,1.65,0.94,3.07
Nebraska,1.41,1.41,0.69,2.31
Nevada,1.41,1.41,1.24,3.27
New Hampshire,1.9,1.9,1.89,4.65
New Jersey,0.88,0.88,0.9,2.39
New Mexico,1.24,1.24,0.79,2.36
New York,0.91,0.91,0.75,2.17
North Carolina,1.07,1.07,0.6,2.05
North Dakota,1.75,1.75,1.37,3.42
Ohio,1.23,1.23,0.51,2.03
Oklahoma,1.14,1.14,0.61,1.94
Oregon,1.21,1.21,0.89,2.66
Pennsylvania,1.36,1.36,0.67,2.34
Rhode Island,1.03,1.03,0.97,2.58
South Carolina,1.28,1.28,0.79,2.32
South Dakota,1.53,1.53,0.96,2.76
Tennessee,1.07,1.07,0.68,2.0
Texas,1.33,1.33,0.63,2.28
Utah,0.69,0.69,0.5,1.37
Vermont,1.51,1.51,0.71,2.92
Virginia,1.04,1.04,0.62,2.12
Washington,0.96,0.96,0.76,2.25
West Virginia,1.24,1.24,0.47,1.8
Wisconsin,1.46,1.46,1.18,3.02
Wyoming,1.32,1.32,1.13,2.73
