State,Beer (Per capita consumption),Wine (Per capita consumption),Spirits (Per capita consumption),All beverages (Per capita consumption)
Alabama,1.13,1.13,0.62,2.0
Alaska,1.11,1.11,1.16,2.79
Arizona,1.18,1.18,0.79,2.37
Arkansas,0.96,0.96,0.62,1.79
California,1.0,1.0,0.73,2.32
Colorado,1.14,1.14,1.11,2.77
Connecticut,0.84,0.84,0.92,2.37
Delaware,1.21,1.21,1.66,3.59
District of Columbia,1.16,1.16,1.68,3.84
Florida,1.09,1.09,0.98,2.59
Georgia,1.02,1.02,0.69,1.96
Hawaii,1.27,1.27,0.77,2.59
Idaho,0.93,0.93,0.77,2.82
Illinois,1.12,1.12,0.78,2.32
Indiana,0.98,0.98,0.8,2.05
Iowa,1.34,1.34,0.81,2.37
Kansas,1.04,1.04,0.75,1.93
Kentucky,0.94,0.94,0.72,1.88
Louisiana,1.3,1.3,0.95,2.58
Maine,1.36,1.36,0.93,2.71
Maryland,0.86,0.86,0.9,2.15
Massachusetts,0.98,0.98,0.91,2.55
Michigan,1.05,1.05,0.88,2.32
Minnesota,1.14,1.14,1.23,2.81
Mississippi,1.32,1.32,0.75,2.23
Missouri,1.16,1.16,0.88,2.4
Montana,1.62,1.62,0.96,3.08
Nebraska,1.37,1.37,0.71,2.3
Nevada,1.41,1.41,1.3,3.36
New Hampshire,1.69,1.69,1.96,4.54
New Jersey,0.84,0.84,0.92,2.37
New Mexico,1.29,1.29,0.82,2.42
New York,0.9,0.9,0.76,2.2
North Carolina,1.04,1.04,0.61,2.06
North Dakota,1.67,1.67,1.39,3.41
Ohio,1.19,1.19,0.54,2.03
Oklahoma,1.09,1.09,0.63,1.91
Oregon,1.23,1.23,0.9,2.7
Pennsylvania,1.32,1.32,0.7,2.34
Rhode Island,1.02,1.02,0.86,2.39
South Carolina,1.23,1.23,0.8,2.28
South Dakota,1.5,1.5,0.99,2.74
Tennessee,1.04,1.04,0.73,2.02
Texas,1.25,1.25,0.65,2.24
Utah,0.66,0.66,0.52,1.37
Vermont,1.55,1.55,0.72,3.05
Virginia,1.01,1.01,0.63,2.11
Washington,0.97,0.97,0.76,2.26
West Virginia,1.21,1.21,0.47,1.78
Wisconsin,1.41,1.41,1.18,2.97
Wyoming,1.25,1.25,1.16,2.72
